"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Food",2010,3,3.103475307,2.33944113263918,2.86770203355771,4,4
"Global","Food",2010,4,3.103475307,2.33944113263918,3.07900639392512,4,5
"Global","Food",2010,5,3.103475307,2.33944113263918,3.06894428152667,4,6
"Global","Food",2011,1,3.432,1.66024854574394,2.26397528965082,2,2
"Global","Food",2011,2,3.432,2.41490697562755,2.61614922359651,3,3
"Global","Food",2011,3,3.432,2.41490697562755,2.49037281861591,3,4
"Global","Food",2011,4,3.432,2.41490697562755,2.77714302197168,3,5
"Global","Food",2011,5,3.432,2.41490697562755,2.96832315754219,3,6
"Global","Food",2012,1,3.642355303,2.41490697562755,1.66024854574394,2,2
"Global","Food",2012,2,3.642355303,2.41490697562755,1.81118023172066,2,3
"Global","Food",2012,3,3.642355303,2.41490697562755,2.18850944666246,2,4
"Global","Food",2012,4,3.642355303,2.41490697562755,2.17341627806479,2,5
"Global","Food",2012,5,3.642355303,2.41490697562755,2.46521753761979,2,6
"Global","Food",2013,1,3.70125,3.92422383539476,2.41490697562755,1,2
"Global","Food",2013,2,3.70125,3.92422383539476,2.41490697562755,1,3
"Global","Food",2013,3,3.70125,3.92422383539476,2.33944113263918,1,4
"Global","Food",2013,4,3.70125,3.92422383539476,2.53565232440892,1,5
"Global","Food",2013,5,3.70125,3.92422383539476,2.46521753761979,1,6
"Global","Food",2014,1,3.197654941,NA,3.92422383539476,0,1
"Global","Food",2014,2,3.197654941,NA,2.41490697562755,0,2
"Global","Food",2014,3,3.197654941,NA,2.41490697562755,0,3
"Global","Food",2014,4,3.197654941,NA,2.33944113263918,0,4
"Global","Food",2014,5,3.197654941,NA,2.53565232440892,0,5
"Global","Food",2015,1,3.513821138,NA,NA,0,0
"Global","Food",2015,2,3.513821138,NA,3.92422383539476,0,1
"Global","Food",2015,3,3.513821138,NA,2.41490697562755,0,2
"Global","Food",2015,4,3.513821138,NA,2.41490697562755,0,3
"Global","Food",2015,5,3.513821138,NA,2.33944113263918,0,4
"Global","Food",2016,1,3.511574074,NA,NA,0,0
"Global","Food",2016,2,3.511574074,NA,NA,0,0
"Global","Food",2016,3,3.511574074,NA,3.92422383539476,0,1
"Global","Food",2016,4,3.511574074,NA,2.41490697562755,0,2
"Global","Food",2016,5,3.511574074,NA,2.41490697562755,0,3
"Global","Food",2017,1,3.497409326,NA,NA,0,0
"Global","Food",2017,2,3.497409326,NA,NA,0,0
"Global","Food",2017,3,3.497409326,NA,NA,0,0
"Global","Food",2017,4,3.497409326,NA,3.92422383539476,0,1
"Global","Food",2017,5,3.497409326,NA,2.41490697562755,0,2
"Global","Food",2018,1,3.378398963,NA,NA,0,0
"Global","Food",2018,2,3.378398963,NA,NA,0,0
"Global","Food",2018,3,3.378398963,NA,NA,0,0
"Global","Food",2018,4,3.378398963,NA,NA,0,0
"Global","Food",2018,5,3.378398963,NA,3.92422383539476,0,1
"Global","Food",2019,1,3.281540505,NA,NA,0,0
"Global","Food",2019,2,3.281540505,NA,NA,0,0
"Global","Food",2019,3,3.281540505,NA,NA,0,0
"Global","Food",2019,4,3.281540505,NA,NA,0,0
"Global","Food",2019,5,3.281540505,NA,NA,0,0
"Global","Food",2020,1,3.265888457,NA,NA,0,0
"Global","Food",2020,2,3.265888457,NA,NA,0,0
"Global","Food",2020,3,3.265888457,NA,NA,0,0
"Global","Food",2020,4,3.265888457,NA,NA,0,0
"Global","Food",2020,5,3.265888457,NA,NA,0,0
"Global","Food",2021,1,3.334563346,NA,NA,0,0
"Global","Food",2021,2,3.334563346,NA,NA,0,0
"Global","Food",2021,3,3.334563346,NA,NA,0,0
"Global","Food",2021,4,3.334563346,NA,NA,0,0
"Global","Food",2021,5,3.334563346,NA,NA,0,0
